industry,funding_amount,team_size,revenue,market_size,founder_experience,business_model,competition_level,customer_growth,success
6,500000,25,1200000,50000000,6,0,2,35,1
5,150000,10,250000,20000000,2,1,0,12,0
8,900000,40,2500000,80000000,8,3,2,48,1
4,300000,18,700000,60000000,4,2,0,22,1
1,80000,7,100000,15000000,1,1,1,8,0
0,1200000,50,3200000,100000000,10,3,2,55,1
9,450000,22,900000,45000000,5,0,2,30,1
7,200000,15,350000,30000000,3,1,0,15,0
3,750000,35,2100000,90000000,7,3,1,45,1
2,650000,28,1600000,70000000,6,0,2,38,1
