startup_name,industry,funding_amount,team_size,revenue,market_size,founder_experience,business_model,competition_level,customer_growth,success
PayTech,FinTech,500000,25,1200000,50000000,6,B2B,Medium,35,1
LearnHub,EdTech,150000,10,250000,20000000,2,B2C,High,12,0
MediCareAI,HealthTech,900000,40,2500000,80000000,8,SaaS,Medium,48,1
ShopEasy,E-Commerce,300000,18,700000,60000000,4,Marketplace,High,22,1
AgroFuture,AgriTech,80000,7,100000,15000000,1,B2C,Low,8,0
VisionAI,AI,1200000,50,3200000,100000000,10,SaaS,Medium,55,1
QuickMove,Logistics,450000,22,900000,45000000,5,B2B,Medium,30,1
FoodExpress,FoodTech,200000,15,350000,30000000,3,B2C,High,15,0
SecureNet,Cybersecurity,750000,35,2100000,90000000,7,SaaS,Low,45,1
GreenEnergy,CleanTech,650000,28,1600000,70000000,6,B2B,Medium,38,1
