startup_name,performance_status,industry,funding_amount,team_size,revenue,market_size,founder_experience,business_model,competition_level,customer_growth,success,profile_score,profile_category,recommended_funding_stage,investment_requirement,investor_interest,market_score,market_potential,competitor_count,competition_category,competitive_advantage_score,competitive_advantage,growth_score,growth_forecast,projected_revenue_growth_percent,expected_user_growth_percent,risk_score,risk_category
FinPulse AI,Good,6,500000,25,1200000,50000000,6,0,2,35,1,100,Excellent Startup Profile,Seed Funding,300000,High,70,High,12,Medium Competition,70,Good Competitive Advantage,75,High Growth,35,40,30,Low Risk
LearnLoop Labs,Loss,5,150000,10,250000,20000000,2,1,0,12,0,0,Weak Startup Profile,Angel Investment,150000,Low,35,Low,25,High Competition,25,Weak Competitive Advantage,25,Low Growth,10,15,85,High Risk
MediBridge Health,Good,8,900000,40,2500000,80000000,8,3,2,48,1,100,Excellent Startup Profile,Series A,1000000,High,95,Very High,12,Medium Competition,90,Strong Competitive Advantage,100,Very High Growth,45,50,30,Low Risk
ShopSwift Market,Loss,4,300000,18,700000,60000000,4,2,0,22,1,20,Weak Startup Profile,Seed Funding,300000,Low,45,Medium,25,High Competition,50,Average Competitive Advantage,40,Low Growth,10,15,65,High Risk
AgroNest,Loss,1,80000,7,100000,15000000,1,1,1,8,0,0,Weak Startup Profile,Bootstrapping,50000,Low,45,Medium,5,Low Competition,45,Average Competitive Advantage,25,Low Growth,10,15,75,High Risk
VisionForge AI,Good,0,1200000,50,3200000,100000000,10,3,2,55,1,100,Excellent Startup Profile,Venture Capital,2500000,High,95,Very High,12,Medium Competition,90,Strong Competitive Advantage,100,Very High Growth,45,50,30,Low Risk
RoutePilot Logistics,Moderate,9,450000,22,900000,45000000,5,0,2,30,1,40,Average Startup Profile,Seed Funding,300000,Low,50,Medium,12,Medium Competition,60,Good Competitive Advantage,55,Moderate Growth,22,28,55,Medium Risk
BiteBox Cloud,Loss,7,200000,15,350000,30000000,3,1,0,15,0,0,Weak Startup Profile,Angel Investment,150000,Low,35,Low,25,High Competition,25,Weak Competitive Advantage,35,Low Growth,10,15,75,High Risk
SecureStack One,Good,3,750000,35,2100000,90000000,7,3,1,45,1,100,Excellent Startup Profile,Series A,1000000,High,100,Very High,5,Low Competition,100,Strong Competitive Advantage,90,Very High Growth,45,50,25,Low Risk
CarbonGrid Renewables,Good,2,650000,28,1600000,70000000,6,0,2,38,1,100,Excellent Startup Profile,Seed Funding,300000,High,70,High,12,Medium Competition,80,Strong Competitive Advantage,80,High Growth,35,40,30,Low Risk
Paywise Ledger,Good,6,1800000,64,5200000,140000000,9,3,2,62,1,100,Excellent Startup Profile,Venture Capital,2500000,High,95,Very High,12,Medium Competition,92,Strong Competitive Advantage,100,Very High Growth,45,50,25,Low Risk
ClinicFlow AI,Good,8,1100000,46,3400000,115000000,8,0,1,54,1,100,Excellent Startup Profile,Series A,1000000,High,100,Very High,5,Low Competition,94,Strong Competitive Advantage,95,Very High Growth,45,50,25,Low Risk
SkillSprint,Moderate,5,420000,24,780000,48000000,5,3,2,29,1,55,Average Startup Profile,Seed Funding,300000,Medium,55,Medium,12,Medium Competition,58,Good Competitive Advantage,55,Moderate Growth,22,28,50,Medium Risk
FreshKart Direct,Moderate,4,360000,20,650000,38000000,4,2,0,24,1,35,Average Startup Profile,Seed Funding,300000,Low,45,Medium,25,High Competition,52,Average Competitive Advantage,45,Moderate Growth,22,28,60,Medium Risk
CropSense Robotics,Moderate,1,280000,18,520000,42000000,4,0,1,26,1,45,Average Startup Profile,Seed Funding,300000,Medium,55,Medium,5,Low Competition,62,Good Competitive Advantage,50,Moderate Growth,22,28,45,Medium Risk
WasteZero Energy,Moderate,2,500000,30,850000,65000000,5,0,2,31,1,60,Average Startup Profile,Seed Funding,300000,Medium,70,High,12,Medium Competition,64,Good Competitive Advantage,60,Moderate Growth,22,28,45,Medium Risk
DarkShield Cyber,Good,3,1450000,55,4100000,125000000,9,3,1,58,1,100,Excellent Startup Profile,Venture Capital,2500000,High,100,Very High,5,Low Competition,96,Strong Competitive Advantage,100,Very High Growth,45,50,20,Low Risk
FleetMint,Loss,9,220000,16,180000,25000000,2,1,0,10,0,0,Weak Startup Profile,Angel Investment,150000,Low,35,Low,25,High Competition,22,Weak Competitive Advantage,20,Low Growth,10,15,90,High Risk
CloudKitchen Hub,Loss,7,310000,19,240000,28000000,3,2,0,13,0,0,Weak Startup Profile,Angel Investment,150000,Low,35,Low,25,High Competition,28,Weak Competitive Advantage,25,Low Growth,10,15,85,High Risk
NeuroRetail AI,Moderate,0,580000,32,980000,76000000,6,0,2,34,1,70,Average Startup Profile,Seed Funding,300000,Medium,70,High,12,Medium Competition,68,Good Competitive Advantage,65,Moderate Growth,22,28,40,Medium Risk
TutorBee,Loss,5,120000,9,90000,18000000,2,1,0,9,0,0,Weak Startup Profile,Bootstrapping,50000,Low,35,Low,25,High Competition,20,Weak Competitive Advantage,20,Low Growth,10,15,90,High Risk
HealthCart Plus,Moderate,8,520000,27,1100000,69000000,5,2,2,36,1,65,Average Startup Profile,Seed Funding,300000,Medium,70,High,12,Medium Competition,66,Good Competitive Advantage,65,Moderate Growth,22,28,40,Medium Risk
